time,original,ema,median,kalman,butterworth
27702084,257,237.26753305114823,172.0,206.10544433148632,243.47039310860146
27727090,256,244.76051983068893,212.0,219.58476848391075,242.22997809982397
27752094,240,242.85631189841337,227.0,225.10007009478,236.37083034618826
27777102,258,248.913787139048,240.0,233.9881905288168,224.9207374223612
27802106,209,232.94827228342882,240.0,227.2374756340248,205.94366496514579
27827109,186,214.1689633700573,240.0,216.0969154295875,182.56159639254844
27852113,172,197.30137802203438,240.0,204.18385980190598,156.55745610499366
27877117,134,171.98082681322063,240.0,185.22325410329262,126.20077176942029
27902121,103,144.38849608793237,240.0,163.0101312469876,91.44236720248414
27927125,62,111.43309765275941,209.0,135.72161682864402,52.50884349812838
27952129,6,69.25985859165566,186.0,100.67651622835285,10.92893161291601
27977132,-50,21.555915154993393,172.0,59.970319386084995,-28.37898744987129
28002137,-58,-10.266450907003968,134.0,28.099904787452495,-63.252097273050964
28027140,-111,-50.55987054420238,103.0,-9.478798561631805,-95.36047164940024
28052144,-116,-76.73592232652143,62.0,-38.2561628262375,-125.79120410677734
28077152,-161,-110.44155339591286,6.0,-71.41617290769085,-156.12569202111584
28102156,-197,-145.06493203754772,-50.0,-105.34342390729242,-185.25050421663664
28127159,-240,-183.03895922252863,-58.0,-141.72173440810386,-208.15271891338352
28152167,-225,-199.82337553351718,-111.0,-164.21987517165107,-223.05869807419725
28177171,-250,-219.8940253201103,-116.0,-187.39390874915443,-232.4603297624796
28202175,-253,-233.13641519206618,-161.0,-205.11780183718818,-236.3122710691119
28227179,-244,-237.4818491152397,-197.0,-215.62206920209596,-233.85484873905142
28252183,-224,-232.0891094691438,-224.0,-217.88541924978048,-227.98862874144066
28277186,-250,-239.2534656814863,-225.0,-226.56137273110576,-218.6600394260459
28302190,-216,-229.95207940889176,-225.0,-223.70815228190577,-201.7995393319643
28327194,-187,-212.77124764533505,-225.0,-213.7912169166187,-177.81714376484513
28352198,-159,-191.26274858720103,-225.0,-198.98902931058754,-149.48666968004486
28377202,-107,-157.5576491523206,-225.0,-174.13762161828973,-119.53672470446793
28402202,-99,-134.13458949139238,-224.0,-153.83872639284775,-90.29513354119496
28427206,-68,-107.68075369483543,-216.0,-130.64886123866964,-59.6914956073729
28452210,-39,-80.20845221690126,-187.0,-105.88935206408085,-25.02757436511422
28477213,24,-38.525071330140754,-159.0,-70.79893674798667,12.15886346697392
28502217,54,-1.5150427980844512,-107.0,-37.08372875054189,47.689965606028
28527221,80,31.09097432114933,-99.0,-5.452832119488583,80.77340545690573
28552225,135,72.65458459268959,-68.0,32.4913729525562,110.87145669392883
28577229,140,99.59275075561375,-39.0,61.53549637921481,135.60932665811367
28602236,168,126.95565045336825,24.0,90.2975433762009,155.67284955143447
28627240,169,143.77339027202095,54.0,111.55950092267872,173.1655829139122
28652244,202,167.06403416321257,80.0,135.9925635531886,188.89084032380288
28677248,211,184.63842049792754,135.0,156.25628844586214,201.33912799131198
28702252,221,199.18305229875654,140.0,173.7472043018383,209.21899559620405
28727259,233,212.7098313792539,168.0,189.754715130458,211.43792974759103
28752263,218,214.82589882755235,169.0,197.38535429404888,206.8292347205687
28777267,210,212.8955392965314,202.0,200.7932791920715,196.26470823137282
28802275,194,205.33732357791885,202.0,198.958032619355,180.2907947266385
