xAccl,yAccl,zAccl,newPosition,time,low-pass_filtered
-121,44,1009,0,14274259,-97.82572562
35,8,981,0,14299267,29.20248493
142,-18,986,0,14324275,155.2086567
289,-25,934,0,14349283,278.6870357
417,-32,888,0,14374290,395.5659194
541,-55,840,0,14399294,498.9422777
560,-65,789,0,14424298,590.9636219
760,-69,729,0,14449306,672.3361455
811,-85,685,0,14474310,726.2898195
748,-96,641,0,14499314,750.1340448
732,-78,665,0,14524317,765.4974152
845,-97,622,0,14549321,777.4226032
817,-86,620,0,14574325,770.3245022
666,-28,711,0,14599329,751.816717
854,-27,802,0,14624336,729.786871
716,-113,803,0,14649340,683.9127785
611,-59,756,0,14674348,615.2973131
582,-59,821,0,14699352,535.8397805
477,-49,881,0,14724356,439.7575133
349,-44,894,0,14749360,325.0395144
259,-8,954,0,14774367,190.7722575
-74,1,1006,0,14799371,49.0166835
-96,60,989,0,14824375,-75.74374949
-69,24,979,0,14849379,-200.8049781
-577,120,989,0,14874383,-328.9805667
-390,42,907,0,14899383,-426.6982153
-507,69,882,0,14924390,-510.1895719
-716,107,822,0,14949394,-588.5023378
-636,68,768,0,14974398,-645.1868878
-733,91,764,0,14999402,-689.6126971
-754,100,721,0,15024410,-726.7353741
-810,93,683,0,15049414,-751.1576269
-790,91,687,0,15074417,-761.1026516
-814,102,692,0,15099421,-756.5449294
-787,99,723,0,15124425,-735.2527615
-704,90,744,0,15149430,-700.4559072
-747,91,756,0,15174434,-653.4091406
-616,56,807,0,15199437,-587.1278968
-538,63,862,0,15224444,-505.3111961
-473,42,904,0,15249448,-410.8292668
-310,36,946,0,15274452,-302.8781641
-231,20,964,0,15299460,-185.8903947
-64,95,996,0,15324467,-62.19258801
30,-1,987,0,15349475,66.79845691
265,-28,959,0,15374479,192.4910602
321,-37,938,0,15399483,301.2810085
413,-49,896,0,15424490,392.7226552
447,-39,852,0,15449495,477.465293
579,-80,779,0,15474498,560.9597423
665,-72,756,0,15499506,637.401046
760,-54,738,0,15524510,695.9695301
766,-90,691,0,15549514,731.1266992
783,-76,685,0,15574522,744.8022713
743,-63,698,0,15599527,743.3443162
775,-85,692,0,15624533,729.6735411
670,-26,722,0,15649541,706.8439591
765,-74,759,0,15674550,673.8902482
642,-52,798,0,15699554,619.9254201
550,-40,828,0,15724558,548.0990866
488,-52,871,0,15749566,467.8917186
449,-52,918,0,15774570,371.6639631
237,-56,974,0,15799570,255.5965748
152,-24,933,0,15824577,129.4062718
-103,73,1018,0,15849585,8.439049177
3,-51,980,0,15874593,-106.70964
-365,73,976,0,15899601,-221.7951487
-302,12,909,0,15924608,-324.4400751
-436,47,904,0,15949616,-418.6573113
-599,118,889,0,15974626,-505.4760772
-586,53,831,0,15999626,-573.3235324
-682,65,790,0,16024633,-626.6547237
-695,78,760,0,16049639,-667.9443393
