xAccl,yAccl,zAccl,time
536,29,864,140.63999999999814
567,34,844,140.65999999999815
621,9,804,140.67999999999816
652,-1,777,140.69999999999817
701,1,759,140.71999999999818
702,0,695,140.7399999999982
752,14,719,140.7599999999982
741,-4,713,140.7799999999982
738,-4,710,140.79999999999822
749,-3,716,140.81999999999823
723,8,723,140.83999999999824
694,14,764,140.85999999999825
667,-4,773,140.87999999999826
618,17,823,140.89999999999827
492,65,840,140.91999999999828
517,32,858,140.9399999999983
413,13,898,140.9599999999983
349,38,939,140.9799999999983
277,23,942,140.99999999999832
41,61,965,141.01999999999833
20,109,1021,141.03999999999834
-80,112,1022,141.05999999999835
-114,62,972,141.07999999999836
-358,124,1001,141.09999999999837
-430,123,964,141.11999999999838
-291,100,912,141.1399999999984
-377,74,885,141.1599999999984
-528,132,915,141.17999999999842
-592,118,862,141.19999999999843
-610,135,829,141.21999999999844
-660,124,804,141.23999999999845
-680,117,792,141.25999999999846
-702,113,779,141.27999999999847
-692,127,778,141.29999999999848
-706,141,784,141.3199999999985
-684,130,789,141.3399999999985
-650,121,806,141.3599999999985
-621,107,825,141.37999999999852
-583,112,848,141.39999999999853
-542,131,884,141.41999999999854
-490,90,900,141.43999999999855
-427,84,918,141.45999999999856
-335,65,942,141.47999999999857
-346,95,957,141.49999999999858
-297,118,978,141.5199999999986
51,28,977,141.5399999999986
12,55,997,141.5599999999986
75,52,982,141.57999999999862
174,48,971,141.59999999999863
232,88,990,141.61999999999864
349,41,951,141.63999999999865
432,10,892,141.65999999999866
480,46,897,141.67999999999867
604,33,851,141.69999999999868
587,10,820,141.7199999999987
654,10,811,141.7399999999987
634,-1,766,141.7599999999987
672,23,760,141.77999999999872
703,7,757,141.79999999999873
704,26,770,141.81999999999874
688,0,755,141.83999999999875
680,5,764,141.85999999999876
655,14,789,141.87999999999877
629,-22,782,141.89999999999878
579,21,817,141.9199999999988
516,0,874,141.9399999999988
495,14,890,141.95999999999881
475,-7,891,141.97999999999882
361,26,933,141.99999999999883
214,39,958,142.01999999999884
10,126,1018,142.03999999999886
-54,102,1031,142.05999999999887
116,38,971,142.07999999999888
-89,79,995,142.0999999999989
-115,65,967,142.1199999999989
-172,55,933,142.1399999999989
-394,104,971,142.15999999999892
-386,81,920,142.17999999999893
-442,94,919,142.19999999999894
-580,98,862,142.21999999999895
-563,128,880,142.23999999999896
-604,115,842,142.25999999999897
-622,119,838,142.27999999999898
-646,116,818,142.299999999999
-637,120,814,142.319999999999
-641,125,825,142.339999999999
-620,119,837,142.35999999999902
-608,122,850,142.37999999999903
-578,111,846,142.39999999999904
-537,110,875,142.41999999999905
-488,92,885,142.43999999999906
-440,102,912,142.45999999999907
-359,68,922,142.47999999999908
-339,71,948,142.4999999999991
-230,91,984,142.5199999999991
-377,139,1006,142.5399999999991
-96,64,1010,142.55999999999912
12,53,988,142.57999999999913
105,57,985,142.59999999999914
169,52,981,142.61999999999915
300,39,961,142.63999999999916
452,10,931,142.65999999999917
409,17,908,142.67999999999918
470,38,897,142.6999999999992
529,14,885,142.7199999999992
539,22,847,142.7399999999992
600,3,834,142.75999999999922
598,19,803,142.77999999999923
645,2,794,142.79999999999924
646,4,790,142.81999999999925
644,13,793,142.83999999999926
637,5,800,142.85999999999927
629,13,815,142.87999999999928
580,-6,815,142.8999999999993
566,-43,779,142.9199999999993
548,24,852,142.93999999999932
493,20,901,142.95999999999933
430,15,894,142.97999999999934
368,31,940,142.99999999999935
322,33,947,143.01999999999936
258,25,960,143.03999999999937
-55,101,1015,143.05999999999938
136,31,976,143.0799999999994
-60,73,999,143.0999999999994
-98,84,1004,143.1199999999994
-175,90,982,143.13999999999942
-276,72,963,143.15999999999943
-313,142,1000,143.17999999999944
-275,121,954,143.19999999999945
-517,82,912,143.21999999999946
-446,87,900,143.23999999999947
-502,132,906,143.25999999999948
-572,103,863,143.2799999999995
-571,117,857,143.2999999999995
-595,114,857,143.3199999999995
-577,115,851,143.33999999999952
-601,118,866,143.35999999999953
-578,120,861,143.37999999999954
-558,122,881,143.39999999999955
-522,108,890,143.41999999999956
-484,104,901,143.43999999999957
-442,90,916,143.45999999999958
-391,88,932,143.4799999999996
-320,86,963,143.4999999999996
-326,52,962,143.5199999999996
-92,74,985,143.53999999999962
-154,64,987,143.55999999999963
-46,60,1008,143.57999999999964
66,40,999,143.59999999999965
80,58,997,143.61999999999966
218,51,984,143.63999999999967
308,49,978,143.65999999999968
316,50,947,143.6799999999997
386,18,929,143.6999999999997
360,40,918,143.71999999999971
462,24,893,143.73999999999972
540,18,873,143.75999999999974
563,8,867,143.77999999999975
540,34,868,143.79999999999976
581,27,839,143.81999999999977
606,16,831,143.83999999999978
607,11,828,143.8599999999998
589,8,833,143.8799999999998
576,-7,831,143.8999999999998
537,13,871,143.91999999999982
563,-23,834,143.93999999999983
509,7,891,143.95999999999984
389,26,917,143.97999999999985
361,40,945,143.99999999999986
270,38,959,144.01999999999987
224,40,972,144.03999999999988
134,60,998,144.0599999999999
52,63,989,144.0799999999999
46,59,994,144.0999999999999
-116,58,1009,144.11999999999992
-127,83,988,144.13999999999993
-119,53,974,144.15999999999994
-95,18,924,144.17999999999995
-356,89,968,144.19999999999996
-358,104,959,144.21999999999997
-439,94,930,144.23999999999998
-452,90,908,144.26
-508,89,901,144.28
-500,109,896,144.3
-546,105,885,144.32000000000002
-549,114,883,144.34000000000003
-541,115,879,144.36000000000004
-540,99,882,144.38000000000005
-530,106,901,144.40000000000006
-506,108,906,144.42000000000007
-477,89,912,144.44000000000008
-419,89,923,144.4600000000001
-393,93,936,144.4800000000001
-319,100,955,144.5000000000001
-188,65,959,144.52000000000012
-207,80,997,144.54000000000013
-113,42,975,144.56000000000014
-72,49,996,144.58000000000015
12,51,997,144.60000000000016
43,64,997,144.62000000000018
88,49,991,144.64000000000019
155,46,983,144.6600000000002
317,28,961,144.6800000000002
329,37,959,144.70000000000022
363,25,914,144.72000000000023
446,28,912,144.74000000000024
483,17,904,144.76000000000025
517,18,891,144.78000000000026
494,22,876,144.80000000000027
560,16,856,144.82000000000028
565,15,866,144.8400000000003
553,15,847,144.8600000000003
545,24,872,144.8800000000003
532,30,878,144.90000000000032
518,14,873,144.92000000000033
488,25,902,144.94000000000034
456,23,902,144.96000000000035
389,21,935,144.98000000000036
406,11,925,145.00000000000037
306,32,954,145.02000000000038
259,38,963,145.0400000000004
178,68,982,145.0600000000004
115,34,977,145.0800000000004
60,40,982,145.10000000000042
37,27,974,145.12000000000043
-46,61,990,145.14000000000044
-175,71,986,145.16000000000045
-345,122,970,145.18000000000046
-157,49,976,145.20000000000047
-342,110,974,145.22000000000048
-407,105,956,145.2400000000005
-375,100,938,145.2600000000005
-469,92,926,145.2800000000005
-478,93,910,145.30000000000052
-491,104,912,145.32000000000053
-507,110,904,145.34000000000054
-498,110,904,145.36000000000055
-545,97,906,145.38000000000056
-477,101,907,145.40000000000057
-461,102,921,145.42000000000058
-440,103,929,145.4400000000006
-411,96,934,145.4600000000006
-351,86,960,145.48000000000062
-304,100,969,145.50000000000063
-269,73,978,145.52000000000064
-266,79,982,145.54000000000065
-413,98,1009,145.56000000000066
-6,44,1000,145.58000000000067
-35,45,985,145.60000000000068
-7,75,1023,145.6200000000007
131,50,1001,145.6400000000007
233,37,980,145.6600000000007
251,32,978,145.68000000000072
327,29,963,145.70000000000073
336,35,950,145.72000000000074
403,20,926,145.74000000000075
452,26,909,145.76000000000076
466,17,908,145.78000000000077
497,31,907,145.80000000000078
504,11,889,145.8200000000008
501,12,891,145.8400000000008
509,16,889,145.8600000000008
517,12,872,145.88000000000082
504,19,889,145.90000000000083
474,25,907,145.92000000000084
471,16,912,145.94000000000085
427,26,919,145.96000000000086
375,27,935,145.98000000000087
