xAccl,yAccl,zAccl,time
-675,99,761,1742476830.0679214
-496,90,873,1742476830.1131768
-535,94,967,1742476830.1677976
77,80,976,1742476830.2129605
488,46,888,1742476830.2678652
607,34,782,1742476830.3146935
844,24,638,1742476830.3678145
855,24,571,1742476830.428886
871,0,544,1742476830.4800234
837,38,616,1742476830.5297303
773,30,690,1742476830.5814939
611,-34,818,1742476830.6298783
234,90,945,1742476830.6799052
-7,96,978,1742476830.730532
-23,-18,880,1742476830.7799132
-635,67,864,1742476830.8296044
-737,78,718,1742476830.8800929
-829,88,652,1742476830.9334857
-875,91,616,1742476830.9803002
-734,102,652,1742476831.0302231
-733,71,718,1742476831.08046
-565,94,835,1742476831.1303875
-392,58,911,1742476831.1798236
-115,34,958,1742476831.2454493
272,57,950,1742476831.2964764
455,8,848,1742476831.3463979
743,35,768,1742476831.3961282
784,22,657,1742476831.4464302
850,26,612,1742476831.496181
841,34,623,1742476831.5461547
819,24,661,1742476831.5967903
646,17,807,1742476831.646801
428,20,893,1742476831.6957862
165,31,965,1742476831.7463565
-163,58,976,1742476831.7961354
-340,12,883,1742476831.8461602
-584,49,810,1742476831.8961835
-756,80,732,1742476831.9464018
-822,94,683,1742476831.9958847
-888,107,659,1742476832.060882
-802,70,704,1742476832.11185
-655,85,790,1742476832.1624289
-429,67,889,1742476832.2129676
-206,58,966,1742476832.262426
56,61,976,1742476832.312997
324,44,934,1742476832.3634171
594,38,846,1742476832.4124215
657,36,736,1742476832.463163
786,25,682,1742476832.5131707
793,33,654,1742476832.569872
770,28,683,1742476832.6133664
768,-9,740,1742476832.6700203
415,11,906,1742476832.7122827
244,95,971,1742476832.7700353
30,69,976,1742476832.812853
-267,35,986,1742476832.8702388
-487,54,879,1742476832.928434
-667,68,795,1742476832.9794822
-736,84,728,1742476833.0294576
-787,88,710,1742476833.0794647
-845,90,727,1742476833.1292357
-666,69,783,1742476833.1813855
-526,96,892,1742476833.2296588
-297,43,953,1742476833.285267
-38,80,991,1742476833.3292067
187,19,961,1742476833.3874283
445,17,879,1742476833.4329753
619,36,802,1742476833.4894109
737,24,719,1742476833.5292108
762,28,689,1742476833.5909753
755,30,719,1742476833.6293373
744,26,764,1742476833.6931431
470,75,947,1742476833.7294133
378,20,917,1742476833.7948372
37,60,979,1742476833.845424
-108,33,969,1742476833.8968623
-379,44,908,1742476833.9457846
-633,69,848,1742476833.9958606
-681,86,780,1742476834.0460455
-742,88,748,1742476834.0957308
-726,93,756,1742476834.1460197
-668,69,795,1742476834.1971045
-516,79,881,1742476834.2459078
-291,69,955,1742476834.2960145
-157,44,985,1742476834.3457136
165,45,980,1742476834.3958035
377,55,929,1742476834.446197
588,29,840,1742476834.4957576
738,26,779,1742476834.5461264
723,32,746,1742476834.6113954
703,39,756,1742476834.6614752
587,47,807,1742476834.7127192
440,57,898,1742476834.761989
350,51,932,1742476834.812288
130,72,983,1742476834.8629239
-73,69,978,1742476834.9125812
-423,73,967,1742476834.9628723
-469,78,892,1742476835.0120745
-676,74,813,1742476835.0623422
-694,83,782,1742476835.1126223
-754,82,778,1742476835.1633153
-651,81,817,1742476835.2120113
-542,60,882,1742476835.273859
-359,65,949,1742476835.3127465
-134,43,975,1742476835.3739033
98,56,989,1742476835.427378
276,48,955,1742476835.4784026
461,22,872,1742476835.5285745
622,25,798,1742476835.579489
668,35,783,1742476835.6287222
734,4,754,1742476835.681469
664,18,805,1742476835.72896
546,-24,839,1742476835.783946
433,19,920,1742476835.8283849
100,64,964,1742476835.8861437
-23,12,971,1742476835.9328208
-206,-3,934,1742476835.9875371
-455,46,899,1742476836.0286503
-602,65,834,1742476836.0904233
-669,79,816,1742476836.1286633
-680,84,824,1742476836.1916745
-601,92,878,1742476836.228603
-494,58,890,1742476836.294172
-324,58,950,1742476836.345494
-139,67,988,1742476836.3953938
133,55,1009,1742476836.445455
334,43,961,1742476836.4951663
463,36,893,1742476836.5462782
598,28,824,1742476836.595993
633,32,796,1742476836.645625
631,-11,778,1742476836.6953752
562,36,837,1742476836.7457962
451,47,869,1742476836.794896
358,9,941,1742476836.8455546
200,58,977,1742476836.895062
-48,63,990,1742476836.9491608
-134,38,937,1742476836.99592
-463,64,923,1742476837.045801
-535,76,876,1742476837.1103623
-621,71,840,1742476837.1609728
-616,59,834,1742476837.2118547
-572,102,872,1742476837.261603
-467,65,915,1742476837.3117893
-312,46,962,1742476837.3620152
-150,64,986,1742476837.4125621
68,57,996,1742476837.462437
255,58,964,1742476837.511733
415,35,916,1742476837.5617635
543,26,857,1742476837.6122541
615,26,833,1742476837.6619103
624,41,807,1742476837.71185
554,50,860,1742476837.7618945
445,28,901,1742476837.8145154
308,26,942,1742476837.8621624
116,-6,1020,1742476837.9116373
-151,53,1001,1742476837.977394
-128,-3,941,1742476838.028226
